MSA_MD_Code,MSA_MD_Name
31940,"Marinette, WI-MI (MSA)"
31980,"Marion, IN (MSA)"
32000,"Marion, NC (MSA)"
32020,"Marion, OH (MSA)"
32100,"Marquette, MI (MSA)"
32140,"Marshall, MN (MSA)"
32180,"Marshall, MO (MSA)"
32260,"Marshalltown, IA (MSA)"
32280,"Martin, TN (MSA)"
32300,"Martinsville, VA (MSA)"
32340,"Maryville, MO (MSA)"
32380,"Mason City, IA (MSA)"
32420,"Mayagüez, PR (MSA)"
32460,"Mayfield, KY (MSA)"
32500,"Maysville, KY (MSA)"
32540,"McAlester, OK (MSA)"
32580,"McAllen-Edinburg-Mission, TX (MSA)"
32620,"McComb, MS (MSA)"
32660,"McMinnville, TN (MSA)"
32700,"McPherson, KS (MSA)"
32740,"Meadville, PA (MSA)"
32780,"Medford, OR (MSA)"
32820,"Memphis, TN-MS-AR (MSA)"
32860,"Menomonie, WI (MSA)"
32900,"Merced, CA (MSA)"
32940,"Meridian, MS (MSA)"
33020,"Mexico, MO (MSA)"
33060,"Miami, OK (MSA)"
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (MSA)"
33124,"Miami-Miami Beach-Kendall, FL (MD)"
33140,"Michigan City-La Porte, IN (MSA)"
33180,"Middlesborough, KY (MSA)"
33220,"Midland, MI (MSA)"
33260,"Midland, TX (MSA)"
33300,"Milledgeville, GA (MSA)"
33340,"Milwaukee-Waukesha, WI (MSA)"
33380,"Minden, LA (MSA)"
33420,"Mineral Wells, TX (MSA)"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)"
33500,"Minot, ND (MSA)"
33540,"Missoula, MT (MSA)"
33580,"Mitchell, SD (MSA)"
33620,"Moberly, MO (MSA)"
33660,"Mobile, AL (MSA)"
33700,"Modesto, CA (MSA)"
33740,"Monroe, LA (MSA)"
33780,"Monroe, MI (MSA)"
33860,"Montgomery, AL (MSA)"
33874,"Montgomery County-Bucks County-Chester County, PA (MD)"
33940,"Montrose, CO (MSA)"
33980,"Morehead City, NC (MSA)"
34020,"Morgan City, LA (MSA)"
34060,"Morgantown, WV (MSA)"
34100,"Morristown, TN (MSA)"
34140,"Moscow, ID (MSA)"
34180,"Moses Lake, WA (MSA)"
34220,"Moultrie, GA (MSA)"
34260,"Mountain Home, AR (MSA)"
34300,"Mountain Home, ID (MSA)"
34340,"Mount Airy, NC (MSA)"
34350,"Mount Gay-Shamrock, WV (MSA)"
34380,"Mount Pleasant, MI (MSA)"
34420,"Mount Pleasant, TX (MSA)"
34460,"Mount Sterling, KY (MSA)"
34500,"Mount Vernon, IL (MSA)"
34540,"Mount Vernon, OH (MSA)"
34580,"Mount Vernon-Anacortes, WA (MSA)"
34620,"Muncie, IN (MSA)"
34660,"Murray, KY (MSA)"
34700,"Muscatine, IA (MSA)"
34740,"Muskegon, MI (MSA)"
34780,"Muskogee, OK (MSA)"
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)"
34860,"Nacogdoches, TX (MSA)"
34900,"Napa, CA (MSA)"
34940,"Naples-Marco Island, FL (MSA)"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (MSA)"
35004,"Nassau County-Suffolk County, NY (MD)"
35020,"Natchez, MS-LA (MSA)"
35060,"Natchitoches, LA (MSA)"
35084,"Newark, NJ-PA (MD)"
35100,"New Bern, NC (MSA)"
35140,"Newberry, SC (MSA)"
35154,"New Brunswick-Lakewood, NJ (MD)"
35220,"New Castle, IN (MSA)"
35260,"New Castle, PA (MSA)"
35300,"New Haven-Milford, CT (MSA)"
35380,"New Orleans-Metairie, LA (MSA)"
35420,"New Philadelphia-Dover, OH (MSA)"
35440,"Newport, OR (MSA)"
35460,"Newport, TN (MSA)"
35580,"New Ulm, MN (MSA)"
35614,"New York-Jersey City-White Plains, NY-NJ (MD)"
35620,"New York-Newark-Jersey City, NY-NJ-PA (MSA)"
35660,"Niles, MI (MSA)"
35700,"Nogales, AZ (MSA)"
35740,"Norfolk, NE (MSA)"
35820,"North Platte, NE (MSA)"
35840,"North Port-Sarasota-Bradenton, FL (MSA)"
35860,"North Vernon, IN (MSA)"
35900,"North Wilkesboro, NC (MSA)"
35940,"Norwalk, OH (MSA)"
35980,"Norwich-New London, CT (MSA)"
36020,"Oak Harbor, WA (MSA)"
36084,"Oakland-Berkeley-Livermore, CA (MD)"
36100,"Ocala, FL (MSA)"
36140,"Ocean City, NJ (MSA)"
36220,"Odessa, TX (MSA)"
36260,"Ogden-Clearfield, UT (MSA)"
36300,"Ogdensburg-Massena, NY (MSA)"
36340,"Oil City, PA (MSA)"
36380,"Okeechobee, FL (MSA)"
36420,"Oklahoma City, OK (MSA)"
36460,"Olean, NY (MSA)"
36500,"Olympia-Lacey-Tumwater, WA (MSA)"
